file,Re,alpha,Cl,Cd
n0012,40000.0,-11.0,-0.0869,0.117
n0012,40000.0,-10.0,-0.0344,0.101
n0012,40000.0,-9.0,0.016,0.086
n0012,40000.0,-8.0,0.0615,0.072
n0012,40000.0,-7.0,0.0212,0.058
n0012,40000.0,-6.0,-0.6115,0.0232
n0012,40000.0,-5.0,-0.5276,0.0218
n0012,40000.0,-4.0,-0.4464,0.0199
n0012,40000.0,-3.0,-0.3376,0.0189
n0012,40000.0,-2.0,-0.22,0.0181
n0012,40000.0,-1.0,-0.11,0.0177
n0012,40000.0,0.0,0.0,0.0175
n0012,40000.0,1.0,0.11,0.0177
n0012,40000.0,2.0,0.22,0.0181
n0012,40000.0,3.0,0.3376,0.0189
n0012,40000.0,4.0,0.4464,0.0199
n0012,40000.0,5.0,0.5276,0.0218
n0012,40000.0,6.0,0.6115,0.0232
n0012,40000.0,7.0,-0.0212,0.058
n0012,40000.0,8.0,-0.0615,0.072
n0012,40000.0,9.0,-0.016,0.086
n0012,40000.0,10.0,0.0344,0.101
n0012,40000.0,11.0,0.0869,0.117
n0012,40000.0,12.0,0.1406,0.134
n0012,40000.0,13.0,0.1945,0.152
n0012,40000.0,14.0,0.2484,0.171
n0012,40000.0,15.0,0.3024,0.19
n0012,40000.0,16.0,0.3563,0.21
n0012,40000.0,17.0,0.4107,0.231
n0012,40000.0,18.0,0.4644,0.252
n0012,40000.0,19.0,0.5178,0.274
n0012,40000.0,20.0,0.5708,0.297
n0012,40000.0,21.0,0.6232,0.32
n0012,40000.0,22.0,0.6755,0.344
n0012,40000.0,23.0,0.7283,0.369
n0012,40000.0,24.0,0.7809,0.394
n0012,40000.0,25.0,0.834,0.42
n0012,80000.0,-25.0,-0.8432,0.42
n0012,80000.0,-24.0,-0.7902,0.394
n0012,80000.0,-23.0,-0.7373,0.369
n0012,80000.0,-22.0,-0.6839,0.344
n0012,80000.0,-21.0,-0.6305,0.32
n0012,80000.0,-20.0,-0.577,0.297
n0012,80000.0,-19.0,-0.5232,0.274
n0012,80000.0,-18.0,-0.4689,0.252
n0012,80000.0,-17.0,-0.4139,0.231
n0012,80000.0,-16.0,-0.3582,0.21
n0012,80000.0,-15.0,-0.3043,0.19
n0012,80000.0,-14.0,-0.2504,0.171
n0012,80000.0,-13.0,-0.1966,0.152
n0012,80000.0,-12.0,-0.143,0.134
n0012,80000.0,-11.0,-0.0911,0.117
n0012,80000.0,-10.0,-0.0413,0.06
n0012,80000.0,-9.0,0.001,0.06
n0012,80000.0,-8.0,-0.693,0.0222
n0012,80000.0,-7.0,-0.7227,0.0204
n0012,80000.0,-6.0,-0.6384,0.0189
n0012,80000.0,-5.0,-0.55,0.017
n0012,80000.0,-4.0,-0.44,0.0155
n0012,80000.0,-3.0,-0.33,0.0145
n0012,80000.0,-2.0,-0.22,0.0138
n0012,80000.0,-1.0,-0.11,0.0134
n0012,80000.0,0.0,0.0,0.0133
n0012,80000.0,1.0,0.11,0.0134
n0012,80000.0,2.0,0.22,0.0138
n0012,80000.0,3.0,0.33,0.0145
n0012,80000.0,4.0,0.44,0.0155
n0012,80000.0,5.0,0.55,0.017
n0012,80000.0,6.0,0.6384,0.0189
n0012,80000.0,7.0,0.7227,0.0204
n0012,80000.0,8.0,0.693,0.0222
n0012,80000.0,9.0,-0.001,0.06
n0012,80000.0,10.0,0.0413,0.06
n0012,80000.0,11.0,0.0911,0.117
n0012,80000.0,12.0,0.143,0.134
n0012,80000.0,13.0,0.1966,0.152
n0012,80000.0,14.0,0.2504,0.171
n0012,80000.0,15.0,0.3043,0.19
n0012,80000.0,16.0,0.3582,0.21
n0012,80000.0,17.0,0.4139,0.231
n0012,80000.0,18.0,0.4689,0.252
n0012,80000.0,19.0,0.5232,0.274
n0012,80000.0,20.0,0.577,0.297
n0012,80000.0,21.0,0.6305,0.32
n0012,80000.0,22.0,0.6839,0.344
n0012,80000.0,23.0,0.7373,0.369
n0012,80000.0,24.0,0.7902,0.394
n0012,80000.0,25.0,0.8432,0.42
n0012,160000.0,-25.0,-0.8572,0.42
n0012,160000.0,-24.0,-0.8034,0.394
n0012,160000.0,-23.0,-0.7497,0.369
n0012,160000.0,-22.0,-0.6956,0.344
n0012,160000.0,-21.0,-0.6414,0.32
n0012,160000.0,-20.0,-0.587,0.297
n0012,160000.0,-19.0,-0.5322,0.274
n0012,160000.0,-18.0,-0.4768,0.252
n0012,160000.0,-17.0,-0.42,0.231
n0012,160000.0,-16.0,-0.362,0.21
n0012,160000.0,-15.0,-0.3082,0.19
n0012,160000.0,-14.0,-0.2546,0.171
n0012,160000.0,-13.0,-0.203,0.152
n0012,160000.0,-12.0,-0.1533,0.134
n0012,160000.0,-11.0,-0.1095,0.076
n0012,160000.0,-10.0,-0.1325,0.0188
n0012,160000.0,-9.0,-0.8527,0.0203
n0012,160000.0,-8.0,-0.8274,0.0185
n0012,160000.0,-7.0,-0.746,0.017
n0012,160000.0,-6.0,-0.66,0.0152
n0012,160000.0,-5.0,-0.55,0.014
n0012,160000.0,-4.0,-0.44,0.0124
n0012,160000.0,-3.0,-0.33,0.0114
n0012,160000.0,-2.0,-0.22,0.0108
n0012,160000.0,-1.0,-0.11,0.0104
n0012,160000.0,0.0,0.0,0.0103
n0012,160000.0,1.0,0.11,0.0104
n0012,160000.0,2.0,0.22,0.0108
n0012,160000.0,3.0,0.33,0.0114
n0012,160000.0,4.0,0.44,0.0124
n0012,160000.0,5.0,0.55,0.014
n0012,160000.0,6.0,0.66,0.0152
n0012,160000.0,7.0,0.746,0.017
n0012,160000.0,8.0,0.8274,0.0185
n0012,160000.0,9.0,0.8527,0.0203
n0012,160000.0,10.0,0.1325,0.0188
n0012,160000.0,11.0,0.1095,0.076
n0012,160000.0,12.0,0.1533,0.134
n0012,160000.0,13.0,0.203,0.152
n0012,160000.0,14.0,0.2546,0.171
n0012,160000.0,15.0,0.3082,0.19
n0012,160000.0,16.0,0.362,0.21
n0012,160000.0,17.0,0.42,0.231
n0012,160000.0,18.0,0.4768,0.252
n0012,160000.0,19.0,0.5322,0.274
n0012,160000.0,20.0,0.587,0.297
n0012,160000.0,21.0,0.6414,0.32
n0012,160000.0,22.0,0.6956,0.344
n0012,160000.0,23.0,0.7497,0.369
n0012,160000.0,24.0,0.8034,0.394
n0012,160000.0,25.0,0.8572,0.42
n0012,360000.0,-25.0,-0.878,0.42
n0012,360000.0,-24.0,-0.8246,0.394
n0012,360000.0,-23.0,-0.7715,0.369
n0012,360000.0,-22.0,-0.7179,0.344
n0012,360000.0,-21.0,-0.6643,0.32
n0012,360000.0,-20.0,-0.612,0.297
n0012,360000.0,-19.0,-0.5591,0.274
n0012,360000.0,-18.0,-0.5047,0.252
n0012,360000.0,-17.0,-0.4455,0.231
n0012,360000.0,-16.0,-0.3792,0.21
n0012,360000.0,-15.0,-0.3306,0.19
n0012,360000.0,-14.0,-0.2893,0.106
n0012,360000.0,-13.0,-0.2759,0.0222
n0012,360000.0,-12.0,-0.4832,0.0217
n0012,360000.0,-11.0,-0.9132,0.0204
n0012,360000.0,-10.0,-0.9811,0.0184
n0012,360000.0,-9.0,-0.9352,0.0167
n0012,360000.0,-8.0,-0.8542,0.0153
n0012,360000.0,-7.0,-0.77,0.0135
n0012,360000.0,-6.0,-0.66,0.0125
n0012,360000.0,-5.0,-0.55,0.0113
n0012,360000.0,-4.0,-0.44,0.0098
n0012,360000.0,-3.0,-0.33,0.0089
n0012,360000.0,-2.0,-0.22,0.0084
n0012,360000.0,-1.0,-0.11,0.008
n0012,360000.0,0.0,0.0,0.0079
n0012,360000.0,1.0,0.11,0.008
n0012,360000.0,2.0,0.22,0.0084
n0012,360000.0,3.0,0.33,0.0089
n0012,360000.0,4.0,0.44,0.0098
n0012,360000.0,5.0,0.55,0.0113
n0012,360000.0,6.0,0.66,0.0125
n0012,360000.0,7.0,0.77,0.0135
n0012,360000.0,8.0,0.8542,0.0153
n0012,360000.0,9.0,0.9352,0.0167
n0012,360000.0,10.0,0.9811,0.0184
n0012,360000.0,11.0,0.9132,0.0204
n0012,360000.0,12.0,0.4832,0.0217
n0012,360000.0,13.0,0.2759,0.0222
n0012,360000.0,14.0,0.2893,0.106
n0012,360000.0,15.0,0.3306,0.19
n0012,360000.0,16.0,0.3792,0.21
n0012,360000.0,17.0,0.4455,0.231
n0012,360000.0,18.0,0.5047,0.252
n0012,360000.0,19.0,0.5591,0.274
n0012,360000.0,20.0,0.612,0.297
n0012,360000.0,21.0,0.6643,0.32
n0012,360000.0,22.0,0.7179,0.344
n0012,360000.0,23.0,0.7715,0.369
n0012,360000.0,24.0,0.8246,0.394
n0012,360000.0,25.0,0.878,0.42
n0012,700000.0,-25.0,-0.8984,0.42
n0012,700000.0,-24.0,-0.8462,0.394
n0012,700000.0,-23.0,-0.7948,0.369
n0012,700000.0,-22.0,-0.7446,0.344
n0012,700000.0,-21.0,-0.6949,0.32
n0012,700000.0,-20.0,-0.6474,0.297
n0012,700000.0,-19.0,-0.6032,0.274
n0012,700000.0,-18.0,-0.5584,0.252
n0012,700000.0,-17.0,-0.5195,0.23
n0012,700000.0,-16.0,-0.4696,0.21
n0012,700000.0,-15.0,-0.4907,0.117
n0012,700000.0,-14.0,-0.6284,0.0236
n0012,700000.0,-13.0,-0.8737,0.0216
n0012,700000.0,-12.0,-1.039,0.0195
n0012,700000.0,-11.0,-1.0749,0.0175
n0012,700000.0,-10.0,-1.0343,0.0159
n0012,700000.0,-9.0,-0.9598,0.0144
n0012,700000.0,-8.0,-0.88,0.0128
n0012,700000.0,-7.0,-0.77,0.0118
n0012,700000.0,-6.0,-0.66,0.0108
n0012,700000.0,-5.0,-0.55,0.0097
n0012,700000.0,-4.0,-0.44,0.0083
n0012,700000.0,-3.0,-0.33,0.0075
n0012,700000.0,-2.0,-0.22,0.007
n0012,700000.0,-1.0,-0.11,0.0068
n0012,700000.0,0.0,0.0,0.0067
n0012,700000.0,1.0,0.11,0.0068
n0012,700000.0,2.0,0.22,0.007
n0012,700000.0,3.0,0.33,0.0075
n0012,700000.0,4.0,0.44,0.0083
n0012,700000.0,5.0,0.55,0.0097
n0012,700000.0,6.0,0.66,0.0108
n0012,700000.0,7.0,0.77,0.0118
n0012,700000.0,8.0,0.88,0.0128
n0012,700000.0,9.0,0.9598,0.0144
n0012,700000.0,10.0,1.0343,0.0159
n0012,700000.0,11.0,1.0749,0.0175
n0012,700000.0,12.0,1.039,0.0195
n0012,700000.0,13.0,0.8737,0.0216
n0012,700000.0,14.0,0.6284,0.0236
n0012,700000.0,15.0,0.4907,0.117
n0012,700000.0,16.0,0.4696,0.21
n0012,700000.0,17.0,0.5195,0.23
n0012,700000.0,18.0,0.5584,0.252
n0012,700000.0,19.0,0.6032,0.274
n0012,700000.0,20.0,0.6474,0.297
n0012,700000.0,21.0,0.6949,0.32
n0012,700000.0,22.0,0.7446,0.344
n0012,700000.0,23.0,0.7948,0.369
n0012,700000.0,24.0,0.8462,0.394
n0012,700000.0,25.0,0.8984,0.42
n0012,1000000.0,-25.0,-0.9093,0.42
n0012,1000000.0,-24.0,-0.8589,0.394
n0012,1000000.0,-23.0,-0.8097,0.369
n0012,1000000.0,-22.0,-0.7613,0.344
n0012,1000000.0,-21.0,-0.7162,0.32
n0012,1000000.0,-20.0,-0.6716,0.297
n0012,1000000.0,-19.0,-0.6334,0.274
n0012,1000000.0,-18.0,-0.603,0.252
n0012,1000000.0,-17.0,-0.5906,0.231
n0012,1000000.0,-16.0,-0.606,0.128
n0012,1000000.0,-15.0,-0.7108,0.0245
n0012,1000000.0,-14.0,-0.8846,0.0222
n0012,1000000.0,-13.0,-1.0487,0.02
n0012,1000000.0,-12.0,-1.1212,0.018
n0012,1000000.0,-11.0,-1.1097,0.0162
n0012,1000000.0,-10.0,-1.0512,0.0147
n0012,1000000.0,-9.0,-0.9661,0.0134
n0012,1000000.0,-8.0,-0.88,0.0119
n0012,1000000.0,-7.0,-0.77,0.011
n0012,1000000.0,-6.0,-0.66,0.0101
n0012,1000000.0,-5.0,-0.55,0.0091
n0012,1000000.0,-4.0,-0.44,0.0078
n0012,1000000.0,-3.0,-0.33,0.0071
n0012,1000000.0,-2.0,-0.22,0.0068
n0012,1000000.0,-1.0,-0.11,0.0066
n0012,1000000.0,0.0,0.0,0.0065
n0012,1000000.0,1.0,0.11,0.0066
n0012,1000000.0,2.0,0.22,0.0068
n0012,1000000.0,3.0,0.33,0.0071
n0012,1000000.0,4.0,0.44,0.0078
n0012,1000000.0,5.0,0.55,0.0091
n0012,1000000.0,6.0,0.66,0.0101
n0012,1000000.0,7.0,0.77,0.011
n0012,1000000.0,8.0,0.88,0.0119
n0012,1000000.0,9.0,0.9661,0.0134
n0012,1000000.0,10.0,1.0512,0.0147
n0012,1000000.0,11.0,1.1097,0.0162
n0012,1000000.0,12.0,1.1212,0.018
n0012,1000000.0,13.0,1.0487,0.02
n0012,1000000.0,14.0,0.8846,0.0222
n0012,1000000.0,15.0,0.7108,0.0245
n0012,1000000.0,16.0,0.606,0.128
n0012,1000000.0,17.0,0.5906,0.231
n0012,1000000.0,18.0,0.603,0.252
n0012,1000000.0,19.0,0.6334,0.274
n0012,1000000.0,20.0,0.6716,0.297
n0012,1000000.0,21.0,0.7162,0.32
n0012,1000000.0,22.0,0.7613,0.344
n0012,1000000.0,23.0,0.8097,0.369
n0012,1000000.0,24.0,0.8589,0.394
n0012,1000000.0,25.0,0.9093,0.42
n0012,2000000.0,-25.0,-0.9352,0.42
n0012,2000000.0,-24.0,-0.8882,0.394
n0012,2000000.0,-23.0,-0.8429,0.369
n0012,2000000.0,-22.0,-0.7981,0.344
n0012,2000000.0,-21.0,-0.7595,0.32
n0012,2000000.0,-20.0,-0.7269,0.297
n0012,2000000.0,-19.0,-0.7091,0.274
n0012,2000000.0,-18.0,-0.7163,0.252
n0012,2000000.0,-17.0,-0.7826,0.138
n0012,2000000.0,-16.0,-0.9221,0.0237
n0012,2000000.0,-15.0,-1.0478,0.0213
n0012,2000000.0,-14.0,-1.1614,0.0191
n0012,2000000.0,-13.0,-1.2169,0.0172
n0012,2000000.0,-12.0,-1.2072,0.0155
n0012,2000000.0,-11.0,-1.1539,0.014
n0012,2000000.0,-10.0,-1.0727,0.0128
n0012,2000000.0,-9.0,-0.99,0.0113
n0012,2000000.0,-8.0,-0.88,0.0105
n0012,2000000.0,-7.0,-0.77,0.0097
n0012,2000000.0,-6.0,-0.66,0.009
n0012,2000000.0,-5.0,-0.55,0.0081
n0012,2000000.0,-4.0,-0.44,0.0073
n0012,2000000.0,-3.0,-0.33,0.0069
n0012,2000000.0,-2.0,-0.22,0.0066
n0012,2000000.0,-1.0,-0.11,0.0064
n0012,2000000.0,0.0,0.0,0.0064
n0012,2000000.0,1.0,0.11,0.0064
n0012,2000000.0,2.0,0.22,0.0066
n0012,2000000.0,3.0,0.33,0.0069
n0012,2000000.0,4.0,0.44,0.0073
n0012,2000000.0,5.0,0.55,0.0081
n0012,2000000.0,6.0,0.66,0.009
n0012,2000000.0,7.0,0.77,0.0097
n0012,2000000.0,8.0,0.88,0.0105
n0012,2000000.0,9.0,0.99,0.0113
n0012,2000000.0,10.0,1.0727,0.0128
n0012,2000000.0,11.0,1.1539,0.014
n0012,2000000.0,12.0,1.2072,0.0155
n0012,2000000.0,13.0,1.2169,0.0172
n0012,2000000.0,14.0,1.1614,0.0191
n0012,2000000.0,15.0,1.0478,0.0213
n0012,2000000.0,16.0,0.9221,0.0237
n0012,2000000.0,17.0,0.7826,0.138
n0012,2000000.0,18.0,0.7163,0.252
n0012,2000000.0,19.0,0.7091,0.274
n0012,2000000.0,20.0,0.7269,0.297
n0012,2000000.0,21.0,0.7595,0.32
n0012,2000000.0,22.0,0.7981,0.344
n0012,2000000.0,23.0,0.8429,0.369
n0012,2000000.0,24.0,0.8882,0.394
n0012,2000000.0,25.0,0.9352,0.42
n0012,5000000.0,-25.0,-0.9718,0.42
n0012,5000000.0,-24.0,-0.9295,0.394
n0012,5000000.0,-23.0,-0.8903,0.369
n0012,5000000.0,-22.0,-0.8563,0.344
n0012,5000000.0,-21.0,-0.8327,0.32
n0012,5000000.0,-20.0,-0.8233,0.297
n0012,5000000.0,-19.0,-0.8412,0.274
n0012,5000000.0,-18.0,-0.9054,0.148
n0012,5000000.0,-17.0,-1.0365,0.0229
n0012,5000000.0,-16.0,-1.2195,0.0198
n0012,5000000.0,-15.0,-1.3093,0.0177
n0012,5000000.0,-14.0,-1.3423,0.0159
n0012,5000000.0,-13.0,-1.3242,0.0143
n0012,5000000.0,-12.0,-1.2673,0.013
n0012,5000000.0,-11.0,-1.1842,0.0118
n0012,5000000.0,-10.0,-1.1,0.0106
n0012,5000000.0,-9.0,-0.99,0.0098
n0012,5000000.0,-8.0,-0.88,0.0092
n0012,5000000.0,-7.0,-0.77,0.0086
n0012,5000000.0,-6.0,-0.66,0.0081
n0012,5000000.0,-5.0,-0.55,0.0076
n0012,5000000.0,-4.0,-0.44,0.0072
n0012,5000000.0,-3.0,-0.33,0.0068
n0012,5000000.0,-2.0,-0.22,0.0066
n0012,5000000.0,-1.0,-0.11,0.0064
n0012,5000000.0,0.0,0.0,0.0064
n0012,5000000.0,1.0,0.11,0.0064
n0012,5000000.0,2.0,0.22,0.0066
n0012,5000000.0,3.0,0.33,0.0068
n0012,5000000.0,4.0,0.44,0.0072
n0012,5000000.0,5.0,0.55,0.0076
n0012,5000000.0,6.0,0.66,0.0081
n0012,5000000.0,7.0,0.77,0.0086
n0012,5000000.0,8.0,0.88,0.0092
n0012,5000000.0,9.0,0.99,0.0098
n0012,5000000.0,10.0,1.1,0.0106
n0012,5000000.0,11.0,1.1842,0.0118
n0012,5000000.0,12.0,1.2673,0.013
n0012,5000000.0,13.0,1.3242,0.0143
n0012,5000000.0,14.0,1.3423,0.0159
n0012,5000000.0,15.0,1.3093,0.0177
n0012,5000000.0,16.0,1.2195,0.0198
n0012,5000000.0,17.0,1.0365,0.0229
n0012,5000000.0,18.0,0.9054,0.148
n0012,5000000.0,19.0,0.8412,0.274
n0012,5000000.0,20.0,0.8233,0.297
n0012,5000000.0,21.0,0.8327,0.32
n0012,5000000.0,22.0,0.8563,0.344
n0012,5000000.0,23.0,0.8903,0.369
n0012,5000000.0,24.0,0.9295,0.394
n0012,5000000.0,25.0,0.9718,0.42
n0012,10000000.0,-25.0,-0.9927,0.42
n0012,10000000.0,-24.0,-0.9492,0.394
n0012,10000000.0,-23.0,-0.9151,0.369
n0012,10000000.0,-22.0,-0.8859,0.344
n0012,10000000.0,-21.0,-0.8665,0.32
n0012,10000000.0,-20.0,-0.8668,0.297
n0012,10000000.0,-19.0,-0.8983,0.161
n0012,10000000.0,-18.0,-0.9795,0.0241
n0012,10000000.0,-17.0,-1.12,0.021
n0012,10000000.0,-16.0,-1.2941,0.0182
n0012,10000000.0,-15.0,-1.4214,0.0157
n0012,10000000.0,-14.0,-1.4171,0.0141
n0012,10000000.0,-13.0,-1.3687,0.0127
n0012,10000000.0,-12.0,-1.2906,0.0116
n0012,10000000.0,-11.0,-1.21,0.0104
n0012,10000000.0,-10.0,-1.1,0.0097
n0012,10000000.0,-9.0,-0.99,0.0091
n0012,10000000.0,-8.0,-0.88,0.0086
n0012,10000000.0,-7.0,-0.77,0.0082
n0012,10000000.0,-6.0,-0.66,0.0078
n0012,10000000.0,-5.0,-0.55,0.0074
n0012,10000000.0,-4.0,-0.44,0.0071
n0012,10000000.0,-3.0,-0.33,0.0068
n0012,10000000.0,-2.0,-0.22,0.0066
n0012,10000000.0,-1.0,-0.11,0.0064
n0012,10000000.0,0.0,0.0,0.0064
n0012,10000000.0,1.0,0.11,0.0064
n0012,10000000.0,2.0,0.22,0.0066
n0012,10000000.0,3.0,0.33,0.0068
n0012,10000000.0,4.0,0.44,0.0071
n0012,10000000.0,5.0,0.55,0.0074
n0012,10000000.0,6.0,0.66,0.0078
n0012,10000000.0,7.0,0.77,0.0082
n0012,10000000.0,8.0,0.88,0.0086
n0012,10000000.0,9.0,0.99,0.0091
n0012,10000000.0,10.0,1.1,0.0097
n0012,10000000.0,11.0,1.21,0.0104
n0012,10000000.0,12.0,1.2906,0.0116
n0012,10000000.0,13.0,1.3687,0.0127
n0012,10000000.0,14.0,1.4171,0.0141
n0012,10000000.0,15.0,1.4214,0.0157
n0012,10000000.0,16.0,1.2941,0.0182
n0012,10000000.0,17.0,1.12,0.021
n0012,10000000.0,18.0,0.9795,0.0241
n0012,10000000.0,19.0,0.8983,0.161
n0012,10000000.0,20.0,0.8668,0.297
n0012,10000000.0,21.0,0.8665,0.32
n0012,10000000.0,22.0,0.8859,0.344
n0012,10000000.0,23.0,0.9151,0.369
n0012,10000000.0,24.0,0.9492,0.394
n0012,10000000.0,25.0,0.9927,0.42
