file,Re,alpha,Cl,Cd
naca0021,360000.0,-11.0,-0.8779,0.0215
naca0021,360000.0,-10.0,-0.85,0.0195
naca0021,360000.0,-9.0,-0.8026,0.0178
naca0021,360000.0,-8.0,-0.7434,0.0163
naca0021,360000.0,-7.0,-0.6728,0.0149
naca0021,360000.0,-6.0,-0.5891,0.0138
naca0021,360000.0,-5.0,-0.4998,0.0129
naca0021,360000.0,-4.0,-0.4044,0.0122
naca0021,360000.0,-3.0,-0.3024,0.0117
naca0021,360000.0,-2.0,-0.22,0.0113
naca0021,360000.0,-1.0,-0.11,0.0111
naca0021,360000.0,0.0,0.0,0.0111
naca0021,360000.0,1.0,0.11,0.0111
naca0021,360000.0,2.0,0.22,0.0113
naca0021,360000.0,3.0,0.3024,0.0117
naca0021,360000.0,4.0,0.4044,0.0122
naca0021,360000.0,5.0,0.4998,0.0129
naca0021,360000.0,6.0,0.5891,0.0138
naca0021,360000.0,7.0,0.6728,0.0149
naca0021,360000.0,8.0,0.7434,0.0163
naca0021,360000.0,9.0,0.8026,0.0178
naca0021,360000.0,10.0,0.85,0.0195
naca0021,360000.0,11.0,0.8779,0.0215
naca0021,360000.0,12.0,0.8938,0.0237
naca0021,360000.0,13.0,0.8973,0.026
naca0021,360000.0,14.0,0.8937,0.0286
naca0021,360000.0,15.0,0.884,0.104
naca0021,360000.0,16.0,0.8717,0.196
naca0021,360000.0,18.0,0.8489,0.238
naca0021,360000.0,20.0,0.8397,0.282
naca0021,360000.0,22.0,0.8453,0.329
naca0021,360000.0,25.0,0.8866,0.405
naca0021,360000.0,30.0,0.855,0.57
naca0021,700000.0,-30.0,-0.855,0.57
naca0021,700000.0,-25.0,-1.035,0.405
naca0021,700000.0,-22.0,-0.994,0.329
naca0021,700000.0,-20.0,-0.9858,0.282
naca0021,700000.0,-18.0,-0.9911,0.238
naca0021,700000.0,-17.0,-0.9973,0.125
naca0021,700000.0,-16.0,-1.0056,0.0295
naca0021,700000.0,-15.0,-1.0106,0.0269
naca0021,700000.0,-14.0,-1.0122,0.0244
naca0021,700000.0,-13.0,-1.002,0.0223
naca0021,700000.0,-12.0,-0.9843,0.0202
naca0021,700000.0,-11.0,-0.9543,0.0184
naca0021,700000.0,-10.0,-0.9091,0.0166
naca0021,700000.0,-9.0,-0.8498,0.0152
naca0021,700000.0,-8.0,-0.7802,0.0138
naca0021,700000.0,-7.0,-0.6988,0.0126
naca0021,700000.0,-5.0,-0.5146,0.0109
naca0021,700000.0,-5.0,-0.61,0.0117
naca0021,700000.0,-4.0,-0.4128,0.0103
naca0021,700000.0,-3.0,-0.33,0.0098
naca0021,700000.0,-2.0,-0.22,0.0096
naca0021,700000.0,-1.0,-0.11,0.0094
naca0021,700000.0,0.0,0.0,0.0094
naca0021,700000.0,1.0,0.11,0.0094
naca0021,700000.0,2.0,0.22,0.0096
naca0021,700000.0,3.0,0.33,0.0098
naca0021,700000.0,4.0,0.4128,0.0103
naca0021,700000.0,5.0,0.5146,0.0109
naca0021,700000.0,5.0,0.61,0.0117
naca0021,700000.0,7.0,0.6988,0.0126
naca0021,700000.0,8.0,0.7802,0.0138
naca0021,700000.0,9.0,0.8498,0.0152
naca0021,700000.0,10.0,0.9091,0.0166
naca0021,700000.0,11.0,0.9543,0.0184
naca0021,700000.0,12.0,0.9843,0.0202
naca0021,700000.0,13.0,1.002,0.0223
naca0021,700000.0,14.0,1.0122,0.0244
naca0021,700000.0,15.0,1.0106,0.0269
naca0021,700000.0,16.0,1.0056,0.0295
naca0021,700000.0,17.0,0.9973,0.125
naca0021,700000.0,18.0,0.9911,0.238
naca0021,700000.0,20.0,0.9858,0.282
naca0021,700000.0,22.0,0.994,0.329
naca0021,700000.0,25.0,1.035,0.405
naca0021,700000.0,30.0,0.855,0.57
naca0021,1000000.0,-30.0,-0.855,0.57
naca0021,1000000.0,-25.0,-1.1018,0.405
naca0021,1000000.0,-22.0,-1.0644,0.329
naca0021,1000000.0,-20.0,-1.0554,0.282
naca0021,1000000.0,-18.0,-1.0588,0.135
naca0021,1000000.0,-17.0,-1.0641,0.03
naca0021,1000000.0,-16.0,-1.069,0.0273
naca0021,1000000.0,-15.0,-1.0709,0.0248
naca0021,1000000.0,-14.0,-1.0657,0.0226
naca0021,1000000.0,-13.0,-1.0492,0.0206
naca0021,1000000.0,-12.0,-1.0257,0.0187
naca0021,1000000.0,-11.0,-0.9862,0.017
naca0021,1000000.0,-10.0,-0.9364,0.0154
naca0021,1000000.0,-9.0,-0.8694,0.014
naca0021,1000000.0,-8.0,-0.7939,0.0128
naca0021,1000000.0,-7.0,-0.7102,0.0117
naca0021,1000000.0,-5.0,-0.5192,0.0101
naca0021,1000000.0,-5.0,-0.6191,0.0108
naca0021,1000000.0,-4.0,-0.44,0.0096
naca0021,1000000.0,-3.0,-0.33,0.0092
naca0021,1000000.0,-2.0,-0.22,0.009
naca0021,1000000.0,-1.0,-0.11,0.0089
naca0021,1000000.0,0.0,0.0,0.0089
naca0021,1000000.0,1.0,0.11,0.0089
naca0021,1000000.0,2.0,0.22,0.009
naca0021,1000000.0,3.0,0.33,0.0092
naca0021,1000000.0,4.0,0.44,0.0096
naca0021,1000000.0,5.0,0.5192,0.0101
naca0021,1000000.0,5.0,0.6191,0.0108
naca0021,1000000.0,7.0,0.7102,0.0117
naca0021,1000000.0,8.0,0.7939,0.0128
naca0021,1000000.0,9.0,0.8694,0.014
naca0021,1000000.0,10.0,0.9364,0.0154
naca0021,1000000.0,11.0,0.9862,0.017
naca0021,1000000.0,12.0,1.0257,0.0187
naca0021,1000000.0,13.0,1.0492,0.0206
naca0021,1000000.0,14.0,1.0657,0.0226
naca0021,1000000.0,15.0,1.0709,0.0248
naca0021,1000000.0,16.0,1.069,0.0273
naca0021,1000000.0,17.0,1.0641,0.03
naca0021,1000000.0,18.0,1.0588,0.135
naca0021,1000000.0,20.0,1.0554,0.282
naca0021,1000000.0,22.0,1.0644,0.329
naca0021,1000000.0,25.0,1.1018,0.405
naca0021,1000000.0,30.0,0.855,0.57
naca0021,2000000.0,-30.0,-0.855,0.57
naca0021,2000000.0,-25.0,-1.223,0.405
naca0021,2000000.0,-22.0,-1.1893,0.329
naca0021,2000000.0,-20.0,-1.1812,0.282
naca0021,2000000.0,-19.0,-1.1797,0.145
naca0021,2000000.0,-18.0,-1.1814,0.0285
naca0021,2000000.0,-17.0,-1.1824,0.026
naca0021,2000000.0,-16.0,-1.1823,0.0236
naca0021,2000000.0,-15.0,-1.1747,0.0215
naca0021,2000000.0,-14.0,-1.158,0.0196
naca0021,2000000.0,-13.0,-1.1305,0.0179
naca0021,2000000.0,-12.0,-1.0906,0.0162
naca0021,2000000.0,-11.0,-1.0398,0.0148
naca0021,2000000.0,-10.0,-0.9739,0.0135
naca0021,2000000.0,-9.0,-0.8986,0.0124
naca0021,2000000.0,-8.0,-0.8143,0.0114
naca0021,2000000.0,-7.0,-0.7254,0.0105
naca0021,2000000.0,-6.0,-0.6268,0.0098
naca0021,2000000.0,-5.0,-0.55,0.0092
naca0021,2000000.0,-4.0,-0.44,0.0089
naca0021,2000000.0,-3.0,-0.33,0.0086
naca0021,2000000.0,-2.0,-0.22,0.0084
naca0021,2000000.0,-1.0,-0.11,0.0083
naca0021,2000000.0,0.0,0.0,0.0082
naca0021,2000000.0,1.0,0.11,0.0083
naca0021,2000000.0,2.0,0.22,0.0084
naca0021,2000000.0,3.0,0.33,0.0086
naca0021,2000000.0,4.0,0.44,0.0089
naca0021,2000000.0,5.0,0.55,0.0092
naca0021,2000000.0,6.0,0.6268,0.0098
naca0021,2000000.0,7.0,0.7254,0.0105
naca0021,2000000.0,8.0,0.8143,0.0114
naca0021,2000000.0,9.0,0.8986,0.0124
naca0021,2000000.0,10.0,0.9739,0.0135
naca0021,2000000.0,11.0,1.0398,0.0148
naca0021,2000000.0,12.0,1.0906,0.0162
naca0021,2000000.0,13.0,1.1305,0.0179
naca0021,2000000.0,14.0,1.158,0.0196
naca0021,2000000.0,15.0,1.1747,0.0215
naca0021,2000000.0,16.0,1.1823,0.0236
naca0021,2000000.0,17.0,1.1824,0.026
naca0021,2000000.0,18.0,1.1814,0.0285
naca0021,2000000.0,19.0,1.1797,0.145
naca0021,2000000.0,20.0,1.1812,0.282
naca0021,2000000.0,22.0,1.1893,0.329
naca0021,2000000.0,25.0,1.223,0.405
naca0021,2000000.0,30.0,0.855,0.57
naca0021,5000000.0,-30.0,-0.855,0.57
naca0021,5000000.0,-25.0,-1.3476,0.405
naca0021,5000000.0,-22.0,-1.313,0.329
naca0021,5000000.0,-20.0,-1.3054,0.0293
naca0021,5000000.0,-19.0,-1.3066,0.0268
naca0021,5000000.0,-18.0,-1.3031,0.0245
naca0021,5000000.0,-17.0,-1.2977,0.0224
naca0021,5000000.0,-16.0,-1.286,0.0205
naca0021,5000000.0,-15.0,-1.268,0.0186
naca0021,5000000.0,-14.0,-1.241,0.017
naca0021,5000000.0,-13.0,-1.1979,0.0156
naca0021,5000000.0,-12.0,-1.1453,0.0143
naca0021,5000000.0,-11.0,-1.0787,0.0132
naca0021,5000000.0,-10.0,-1.0049,0.0121
naca0021,5000000.0,-9.0,-0.9222,0.0112
naca0021,5000000.0,-8.0,-0.8334,0.0104
naca0021,5000000.0,-7.0,-0.7354,0.0097
naca0021,5000000.0,-6.0,-0.66,0.0091
naca0021,5000000.0,-5.0,-0.55,0.0086
naca0021,5000000.0,-4.0,-0.44,0.0083
naca0021,5000000.0,-3.0,-0.33,0.0081
naca0021,5000000.0,-2.0,-0.22,0.0079
naca0021,5000000.0,-1.0,-0.11,0.0078
naca0021,5000000.0,0.0,0.0,0.0078
naca0021,5000000.0,1.0,0.11,0.0078
naca0021,5000000.0,2.0,0.22,0.0079
naca0021,5000000.0,3.0,0.33,0.0081
naca0021,5000000.0,4.0,0.44,0.0083
naca0021,5000000.0,5.0,0.55,0.0086
naca0021,5000000.0,6.0,0.66,0.0091
naca0021,5000000.0,7.0,0.7354,0.0097
naca0021,5000000.0,8.0,0.8334,0.0104
naca0021,5000000.0,9.0,0.9222,0.0112
naca0021,5000000.0,10.0,1.0049,0.0121
naca0021,5000000.0,11.0,1.0787,0.0132
naca0021,5000000.0,12.0,1.1453,0.0143
naca0021,5000000.0,13.0,1.1979,0.0156
naca0021,5000000.0,14.0,1.241,0.017
naca0021,5000000.0,15.0,1.268,0.0186
naca0021,5000000.0,16.0,1.286,0.0205
naca0021,5000000.0,17.0,1.2977,0.0224
naca0021,5000000.0,18.0,1.3031,0.0245
naca0021,5000000.0,19.0,1.3066,0.0268
naca0021,5000000.0,20.0,1.3054,0.0293
naca0021,5000000.0,22.0,1.313,0.329
naca0021,5000000.0,25.0,1.3476,0.405
naca0021,5000000.0,30.0,0.855,0.57
